time,q,dq,tau,qd
2.360000000000001819e-01,2.812610292429874037e-01,-1.423537459516938108e+00,2.757170128320183267e-01,0.000000000000000000e+00
2.380000000000001836e-01,2.784425405054195557e-01,-1.409244368783928225e+00,2.725066601092862584e-01,0.000000000000000000e+00
2.400000000000001854e-01,2.756523539501857245e-01,-1.395093277616918925e+00,2.693041258558466211e-01,0.000000000000000000e+00
2.420000000000001872e-01,2.728901879931538432e-01,-1.381082978515929760e+00,2.661126168025695904e-01,0.000000000000000000e+00
2.440000000000001890e-01,2.701557634788570028e-01,-1.367212257148432197e+00,2.629350360663558206e-01,0.000000000000000000e+00
2.460000000000001907e-01,2.674488036911887856e-01,-1.353479893834096393e+00,2.597740060504385440e-01,0.000000000000000000e+00
2.480000000000001925e-01,2.647690343613594011e-01,-1.339884664914681833e+00,2.566318897261581355e-01,0.000000000000000000e+00
2.500000000000001665e-01,2.621161836733251760e-01,-1.326425344017115648e+00,2.535108104078354074e-01,0.000000000000000000e+00
2.520000000000001683e-01,2.594899822668906841e-01,-1.313100703217247256e+00,2.504126701246995879e-01,0.000000000000000000e+00
2.540000000000001701e-01,2.568901632386681455e-01,-1.299909514111259989e+00,2.473391666867073013e-01,0.000000000000000000e+00
2.560000000000001719e-01,2.543164621410656800e-01,-1.286850548801238059e+00,2.442918095345554264e-01,0.000000000000000000e+00
2.580000000000001736e-01,2.517686169794637885e-01,-1.273922580800943782e+00,2.412719344579983272e-01,0.000000000000000000e+00
2.600000000000001754e-01,2.492463682077289133e-01,-1.261124385867443243e+00,2.382807172607783741e-01,0.000000000000000000e+00
2.620000000000001772e-01,2.467494587222012481e-01,-1.248454742763833947e+00,2.353191864452419679e-01,0.000000000000000000e+00
2.640000000000001790e-01,2.442776338542853309e-01,-1.235912433957961687e+00,2.323882349845618478e-01,0.000000000000000000e+00
2.660000000000001807e-01,2.418306413617619666e-01,-1.223496246261686293e+00,2.294886312460242550e-01,0.000000000000000000e+00
2.680000000000001825e-01,2.394082314189321103e-01,-1.211204971414932441e+00,2.266210291243488939e-01,0.000000000000000000e+00
2.700000000000001843e-01,2.370101566056951603e-01,-1.199037406618477686e+00,2.237859774400305923e-01,0.000000000000000000e+00
2.720000000000001861e-01,2.346361718956568587e-01,-1.186992355019153678e+00,2.209839286539114767e-01,0.000000000000000000e+00
2.740000000000001878e-01,2.322860346433550938e-01,-1.175068626150884032e+00,2.182152469457356858e-01,0.000000000000000000e+00
2.760000000000001896e-01,2.299595045706855911e-01,-1.163265036334745650e+00,2.154802157010813346e-01,0.000000000000000000e+00
2.780000000000001914e-01,2.276563437526035460e-01,-1.151580409041020214e+00,2.127790444480410770e-01,0.000000000000000000e+00
2.800000000000001932e-01,2.253763166021715558e-01,-1.140013575215997443e+00,2.101118752822337399e-01,0.000000000000000000e+00
2.820000000000001950e-01,2.231191898550193564e-01,-1.128563373576100259e+00,2.074787888160543048e-01,0.000000000000000000e+00
2.840000000000001967e-01,2.208847325532758976e-01,-1.117228650871724849e+00,2.048798096855257711e-01,0.000000000000000000e+00
2.860000000000001985e-01,2.186727160290298511e-01,-1.106008262123019170e+00,2.023149116459173058e-01,0.000000000000000000e+00
2.880000000000002003e-01,2.164829138873705094e-01,-1.094901070829675582e+00,1.997840222851685610e-01,0.000000000000000000e+00
2.900000000000002021e-01,2.143151019890571773e-01,-1.083905949156660942e+00,1.972870273819999909e-01,0.000000000000000000e+00
2.920000000000002038e-01,2.121690584328618234e-01,-1.073021778097679624e+00,1.948237749339263303e-01,0.000000000000000000e+00
2.940000000000002056e-01,2.100445635376257392e-01,-1.062247447618037466e+00,1.923940788785394318e-01,0.000000000000000000e+00
2.960000000000002074e-01,2.079413998240688122e-01,-1.051581856778457169e+00,1.899977225298101757e-01,0.000000000000000000e+00
2.980000000000002092e-01,2.058593519963862195e-01,-1.041023913841289783e+00,1.876344617497380796e-01,0.000000000000000000e+00
3.000000000000002109e-01,2.037982069236652927e-01,-1.030572536360462976e+00,1.853040278741850955e-01,0.000000000000000000e+00
3.020000000000002127e-01,2.017577536211524747e-01,-1.020226651256415096e+00,1.830061304104440012e-01,0.000000000000000000e+00
3.040000000000002145e-01,1.997377832313981250e-01,-1.009985194877174974e+00,1.807404595229495925e-01,0.000000000000000000e+00
3.060000000000002163e-01,1.977380890053047902e-01,-9.998471130466660695e-01,1.785066883222743428e-01,0.000000000000000000e+00
3.080000000000002180e-01,1.957584662831023115e-01,-9.898113611012372415e-01,1.763044749716105031e-01,0.000000000000000000e+00
3.100000000000002198e-01,1.937987124752716117e-01,-9.798769039153524263e-01,1.741334646239103279e-01,0.000000000000000000e+00
3.120000000000002216e-01,1.918586270434370078e-01,-9.700427159173046210e-01,1.719932912019128679e-01,0.000000000000000000e+00
3.140000000000002234e-01,1.899380114812454778e-01,-9.603077810957589833e-01,1.698835790325059492e-01,0.000000000000000000e+00
3.160000000000002252e-01,1.880366692952497309e-01,-9.506710929978718916e-01,1.678039443459713453e-01,0.000000000000000000e+00
3.180000000000002269e-01,1.861544059858103728e-01,-9.411316547196799664e-01,1.657539966500500839e-01,0.000000000000000000e+00
3.200000000000002287e-01,1.842910290280315722e-01,-9.316884788894036484e-01,1.637333399879334905e-01,0.000000000000000000e+00
3.220000000000002305e-01,1.824463478527430516e-01,-9.223405876442636320e-01,1.617415740887739872e-01,0.000000000000000000e+00
3.240000000000002323e-01,1.806201738275403090e-01,-9.130870126013654886e-01,1.597782954186222071e-01,0.000000000000000000e+00
3.260000000000002340e-01,1.788123202378939791e-01,-9.039267948231672900e-01,1.578430981391587551e-01,0.000000000000000000e+00
3.280000000000002358e-01,1.770226022683379641e-01,-8.948589847780092921e-01,1.559355749811111025e-01,0.000000000000000000e+00
3.300000000000002376e-01,1.752508369837456614e-01,-8.858826422961485481e-01,1.540553180387238541e-01,0.000000000000000000e+00
3.320000000000002394e-01,1.734968433107022534e-01,-8.769968365217097883e-01,1.522019194911763407e-01,0.000000000000000000e+00
3.340000000000002411e-01,1.717604420189803860e-01,-8.682006458609339283e-01,1.503749722565110858e-01,0.000000000000000000e+00
3.360000000000002429e-01,1.700414557031262319e-01,-8.594931579270774780e-01,1.485740705831410935e-01,0.000000000000000000e+00
3.380000000000002447e-01,1.683397087641616552e-01,-8.508734694822908118e-01,1.467988105837214619e-01,0.000000000000000000e+00
3.400000000000002465e-01,1.666550273914081115e-01,-8.423406863767773922e-01,1.450487907157889111e-01,0.000000000000000000e+00
3.420000000000002482e-01,1.649872395444370865e-01,-8.338939234855160532e-01,1.433236122132903745e-01,0.000000000000000000e+00
3.440000000000002500e-01,1.633361749351514847e-01,-8.255323046428052480e-01,1.416228794727647511e-01,0.000000000000000000e+00
3.460000000000002518e-01,1.617016650100017439e-01,-8.172549625748700697e-01,1.399462003977820501e-01,0.000000000000000000e+00
3.480000000000002536e-01,1.600835429323402281e-01,-8.090610388307546419e-01,1.382931867048569075e-01,0.000000000000000000e+00
3.500000000000002554e-01,1.584816435649168131e-01,-8.009496837117050516e-01,1.366634541939362180e-01,0.000000000000000000e+00
3.520000000000002571e-01,1.568958034525183565e-01,-7.929200561992327811e-01,1.350566229862568690e-01,0.000000000000000000e+00
3.540000000000002589e-01,1.553258608047542733e-01,-7.849713238820348327e-01,1.334723177322150178e-01,0.000000000000000000e+00
3.560000000000002607e-01,1.537716554789904100e-01,-7.771026628819308613e-01,1.319101677916609816e-01,0.000000000000000000e+00
3.580000000000002625e-01,1.522330289634324652e-01,-7.693132577789685289e-01,1.303698073888988063e-01,0.000000000000000000e+00
3.600000000000002642e-01,1.507098243603607890e-01,-7.616023015358336368e-01,1.288508757444741804e-01,0.000000000000000000e+00
3.620000000000002660e-01,1.492018863695173947e-01,-7.539689954216919343e-01,1.273530171856798177e-01,0.000000000000000000e+00
3.640000000000002678e-01,1.477090612716462359e-01,-7.464125489355801779e-01,1.258758812375830871e-01,0.000000000000000000e+00
3.660000000000002696e-01,1.462311969121873334e-01,-7.389321797294531313e-01,1.244191226962634289e-01,0.000000000000000000e+00
